qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
1,12,0,5.55,800,0,4370,3
2,15,0,6.49,1200,1,5641,2
2,11,1,7.59,400,1,6175,1
5,17,0,9.12,1600,1,4540,2
6,17,0,10.05,400,0,4718,2
6,18,0,9.35,800,0,5191,1
3,11,0,8.49,200,0,4190,1
5,16,0,9.36,400,1,4215,3
4,10,0,11.1,400,1,5008,4
5,15,0,9.97,1000,0,5572,1
6,19,0,9.57,400,0,4952,2
5,11,0,11.36,1200,1,5003,1
4,10,0,10.45,400,1,4457,2
5,19,0,8.73,400,0,5635,2
5,20,1,8.92,1200,1,5991,3
4,18,0,8.04,2000,1,6106,2
6,15,0,10.7,1200,1,5776,1
5,16,1,12.03,400,0,6160,1
7,16,0,11.34,1600,1,5748,4
4,12,0,9.5,800,1,4462,3
4,21,0,7.69,400,1,5827,1
5,17,0,9.36,2000,1,4910,3
6,20,0,9.37,400,1,5681,1
10,33,1,9.5,400,1,5365,2
2,16,0,6.4,800,0,5631,1
4,13,0,9.14,400,1,4523,2
3,17,1,7.17,1600,1,5308,2
8,15,0,12.8,400,1,5635,2
8,18,0,11.91,1200,1,5097,1
4,17,0,7.77,400,1,5555,3
7,14,0,12.23,400,0,6223,2
4,15,0,8.59,600,0,5524,1
6,12,0,12.13,200,0,4453,3
9,23,0,10.96,600,0,4902,2
3,9,0,9.35,1600,1,5128,1
4,10,0,10.45,600,0,4729,1
5,9,0,13.9,800,1,6101,1
