qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
6,27,1,8.9,1200,1,6141,1
4,15,0,8.59,1200,1,6137,2
12,31,1,11.1,1200,1,6162,1
8,18,0,11.55,1200,1,6152,1
5,19,0,8.73,1600,1,5242,3
8,28,1,9.14,1600,1,5263,3
4,17,0,8.19,1600,1,5272,2
3,9,0,9.35,1600,1,5267,2
6,21,0,9.19,1600,1,5267,1
4,10,0,10.45,1600,1,5236,3
4,8,0,11.93,1600,1,5233,1
3,7,0,10.75,1600,1,5257,1
7,16,0,11.34,1600,1,5254,1
6,20,0,9.57,1600,1,5252,1
8,13,0,14,1600,1,5254,1
13,31,1,11.91,1600,1,5238,2
5,10,0,12.03,1600,1,5273,1
7,20,0,10.16,1600,1,5257,1
7,19,0,9.93,1600,1,5253,1
5,17,0,9.12,2000,1,5840,1
6,16,0,10.7,2000,1,5811,1
5,16,0,9.36,2000,1,5793,2
7,22,0,9.94,2000,1,5838,1
6,18,0,9.79,2000,1,5822,2
4,15,0,8.59,2000,1,5827,1
1,2,0,11.63,2000,1,5813,1
7,15,0,12.23,2000,1,5815,1
5,10,0,12.03,2000,1,5798,2
6,19,0,9.09,2000,1,5824,2
3,5,0,13.36,2000,1,5843,1
3,8,0,9.95,2000,1,5784,1
5,11,0,12.03,2000,1,5797,2
2,3,0,14.31,2000,1,5783,1
5,23,1,8.44,2000,1,5834,3
9,22,0,11.19,2000,1,5804,3
2,4,0,11.73,400,1,4730,2
2,8,0,7.98,400,0,4737,1
5,14,0,9.97,400,1,4723,2
4,12,0,9.5,400,1,4727,2
4,6,0,16.52,400,1,4737,3
5,16,0,9.36,400,0,4717,1
7,19,0,10.22,400,0,4728,2
3,19,0,7.07,400,0,4703,2
4,13,0,9.14,400,0,4713,2
7,19,0,10.22,400,0,4728,2
6,19,0,9.57,400,1,4735,4
3,9,0,9.35,400,1,4707,1
13,29,1,11.91,400,1,4724,2
7,17,0,11.34,400,0,4703,2
5,12,0,10.81,400,0,4709,1
4,32,1,6.53,400,0,4704,1
1,14,0,5.5,400,0,4734,2
6,14,0,11.1,400,0,4699,2
7,21,0,9.94,400,0,4702,2
7,12,0,13.44,400,0,4722,2
1,3,0,11.63,400,0,4721,1
3,6,0,11.83,400,1,4728,3
1,14,0,5.46,400,0,4712,2
2,5,0,11.73,400,1,4709,1
6,19,0,9.57,400,1,4711,2
1,12,0,5.62,1600,1,4229,1
6,12,0,12.13,1600,1,4202,2
1,12,0,5.62,1600,1,4229,1
5,15,0,9.64,1600,1,4246,2
5,9,0,13.9,1600,1,4202,2
9,19,0,12.06,1600,1,4258,3
3,14,0,7.93,1600,1,4214,1
5,18,0,9.36,1600,1,4257,2
4,17,0,7.77,1600,1,4231,2
5,17,0,9.12,1600,1,4256,2
4,10,0,10.45,1600,1,4237,1
4,10,0,10.45,1600,1,4218,2
7,15,0,11.38,1600,1,4225,3
3,11,0,8.49,1600,1,4251,1
5,20,0,8.73,1600,1,4217,4
1,8,0,6.01,1600,1,6184,1
5,17,0,9.12,1600,1,6181,2
7,11,0,14.23,1600,1,6180,1
5,16,0,9.36,1600,1,6166,5
4,18,0,8.19,1600,1,6193,4
5,17,0,8.97,1600,1,6153,3
10,18,0,13.77,1600,1,6193,1
14,48,1,10.27,1600,1,6153,3
19,53,1,10.88,1600,1,6147,3
15,43,1,10.68,1600,1,6167,2
6,20,1,9.79,1600,1,6174,2
7,22,0,9.75,1600,1,6198,1
15,43,1,10.68,1600,1,6167,2
5,17,0,9.12,1200,1,5247,2
7,15,0,11.75,1200,1,5288,5
8,19,0,11.55,1200,1,5269,2
2,6,0,9.2,1200,1,5286,1
3,21,0,6.93,1200,1,5257,1
1,5,0,7.78,1200,1,5250,4
4,11,0,9.92,1200,1,5286,3
3,13,0,8.18,1200,1,5249,1
4,14,0,8.84,1200,1,5293,3
4,17,0,8.19,1200,1,5244,1
1,15,0,5.43,1200,1,5252,1
6,13,0,12.13,1200,1,5242,1
7,18,0,10.67,1200,1,5285,1
2,4,0,11.73,1200,1,5295,1
3,4,0,15.68,1200,1,5297,1
6,16,0,10.35,2000,1,4924,1
5,14,0,9.97,2000,1,4916,4
2,12,0,7.05,2000,1,4899,3
4,9,0,11.1,2000,1,4918,3
9,23,0,10.96,2000,1,4909,2
0,12,0,0.55,2000,1,4943,1
9,18,0,12.84,2000,1,4898,2
7,16,0,11.34,2000,1,4945,2
7,20,0,10.4,2000,1,4928,1
7,11,0,14.23,2000,1,4894,2
11,14,0,17.64,2000,1,4919,2
5,14,0,10.35,2000,1,4932,1
10,21,0,12.52,2000,1,4930,1
8,19,0,11.23,2000,1,4917,2
8,18,0,11.55,2000,1,4900,2
4,13,0,9.14,2000,1,4948,3
3,20,0,7.07,2000,1,4941,1
7,22,0,9.75,2000,1,4945,2
8,19,0,11.23,800,0,4365,1
1,12,0,5.55,800,0,4367,2
5,10,0,12.86,800,0,4389,1
1,10,0,5.84,800,0,4392,4
4,14,0,9.14,800,1,4388,1
6,15,0,10.7,800,1,4391,1
3,21,0,7,800,0,4361,1
3,10,0,8.87,800,0,4362,4
3,9,0,9.35,800,1,4370,1
8,19,0,11.23,800,0,4365,1
2,10,0,7.29,900,1,4411,3
3,12,0,8.49,800,0,4366,1
5,12,0,10.81,800,0,4393,2
1,12,0,5.55,800,0,4370,3
8,17,0,11.91,800,1,4369,2
5,20,0,8.58,800,1,4380,3
11,35,0,10.43,800,1,4359,3
2,3,0,14.31,800,1,4918,1
7,16,0,11.34,800,1,4922,2
3,11,0,8.49,800,1,4931,1
6,14,0,11.57,800,0,4891,1
5,17,0,9.36,800,0,4897,1
4,22,1,8.04,800,1,4891,2
4,21,0,7.69,800,1,4901,1
2,8,0,8.5,800,0,4934,1
6,16,0,10.7,800,0,4898,1
6,15,0,10.7,800,1,4909,1
3,20,0,7,800,1,4923,2
7,35,1,7.88,800,1,4910,1
4,22,0,7.69,800,1,4911,1
8,16,0,12.33,800,1,4931,2
8,13,0,14,800,1,4914,1
1,11,0,5.62,800,1,4903,3
7,17,0,11.34,800,0,4923,1
3,7,0,10.75,800,1,4938,2
7,17,0,11.34,800,1,4894,2
3,6,0,11.83,800,0,4921,1
4,9,0,11.93,800,0,4916,4
8,18,0,11.55,800,1,4907,2
5,11,0,11.36,800,0,4920,2
8,13,0,14,800,1,4914,1
7,16,0,11.34,800,1,4904,2
5,23,0,7.64,800,1,4896,1
6,19,1,11.1,800,0,4938,1
5,14,0,9.97,800,0,4908,3
1,9,0,5.84,800,0,4895,1
7,21,0,9.42,800,1,4902,2
3,14,0,7.71,2000,1,4231,5
4,9,0,11.1,2000,1,4264,2
6,16,0,10.35,2000,1,4244,2
6,18,0,9.79,2000,1,4213,1
6,22,0,8.67,2000,1,4246,2
7,13,0,12.78,2000,1,4228,1
5,22,0,8.44,2000,1,4210,1
5,15,0,9.27,2000,1,4231,2
4,12,0,9.5,2000,1,4228,2
7,17,0,10.98,2000,1,4230,1
6,20,0,9.37,2000,1,4254,2
7,17,0,10.98,2000,1,4265,3
9,27,0,10.39,2000,1,4252,1
4,10,0,10.45,2000,1,4229,4
6,20,0,9.37,2000,1,4211,1
5,17,0,9.12,2000,1,4247,2
9,19,0,12.42,800,1,6120,1
8,17,0,12.33,800,0,6116,1
9,20,0,11.73,800,0,6145,3
6,15,0,10.7,800,0,6128,1
4,13,0,9.14,800,1,6134,3
8,17,0,12.33,800,0,6116,1
7,15,0,11.75,800,1,6114,2
5,14,0,9.97,800,0,6144,3
0,3,0,0.15,800,0,6123,2
4,10,0,10.45,800,0,6147,1
7,16,0,11.34,800,1,6129,1
4,10,0,10.45,800,0,6137,1
4,16,0,8.38,800,0,6117,3
8,21,0,10.69,800,1,6115,1
6,18,0,9.79,800,0,6127,1
5,18,0,8.7,800,0,6107,1
